,epoch,times,negative ll,purity,cluster_partition
0,0,-79240.04943999986,98123.984375,0.9137499999999998,0.0
1,1,-42451.33705999993,90015.296875,0.9687500000000001,0.0
2,2,-54385.62785999966,88318.5625,1.0,0.0
3,3,-66436.4323799999,88858.671875,1.0,0.0
4,4,-78425.95752000052,89184.296875,1.0,0.0
5,5,-90471.41841999954,89596.453125,1.0,0.0
6,6,-102420.69907999947,89941.1875,1.0,0.0
7,7,-102461.05255999952,89963.328125,1.0,0.0
8,8,-102505.13889999944,89746.859375,1.0,0.0
9,9,-102499.43481999915,89406.1640625,1.0,0.0
