,epoch,times,negative ll,purity,cluster_partition
0,0,-128179.70551999984,272357.0,0.4925,0.0
1,1,-24452.27795999963,184722.90625,0.670625,0.0
2,2,-31489.96334000025,140214.703125,0.6425,0.0
3,3,-37502.79326000018,149164.59375,0.7462500000000001,0.0
4,4,-43924.15907999966,151732.75,0.82,0.0
5,5,-51739.43746000063,152321.375,0.8512500000000001,0.0
6,6,-59909.54538000049,152714.453125,0.8531250000000001,0.0
7,7,-57435.93034000136,152858.4375,0.8400000000000001,0.0
8,8,-53104.29444000125,152924.0,0.82875,0.0
9,9,-42078.31625999883,152983.578125,0.81,0.0
