,cluster_id,cluster_cohortney
0,0,2
1,0,2
2,0,0
3,0,2
4,0,2
5,0,1
6,0,0
7,0,2
8,0,2
9,0,2
10,0,0
11,0,2
12,0,2
13,0,2
14,0,2
15,0,2
16,0,2
17,0,0
18,0,0
19,0,2
20,0,1
21,0,0
22,0,2
23,0,1
24,0,0
25,0,2
26,0,2
27,0,1
28,0,0
29,0,1
30,0,2
31,0,1
32,0,1
33,0,2
34,0,2
35,0,2
36,0,2
37,0,1
38,0,2
39,0,1
40,0,2
41,0,2
42,0,2
43,0,2
44,0,2
45,0,2
46,0,1
47,0,1
48,0,2
49,0,1
50,0,2
51,0,2
52,0,1
53,0,2
54,0,2
55,0,2
56,0,2
57,0,2
58,0,2
59,0,2
60,0,2
61,0,2
62,0,0
63,0,2
64,0,2
65,0,0
66,0,1
67,0,2
68,0,2
69,0,2
70,0,2
71,0,2
72,0,2
73,0,2
74,0,2
75,0,1
76,0,2
77,0,2
78,0,2
79,0,2
80,0,1
81,0,2
82,0,2
83,0,2
84,0,0
85,0,2
86,0,2
87,0,2
88,0,2
89,0,2
90,0,2
91,0,2
92,0,1
93,0,2
94,0,2
95,0,2
96,0,2
97,0,2
98,0,2
99,0,2
100,0,2
101,0,2
102,0,2
103,0,0
104,0,2
105,0,2
106,0,2
107,0,1
108,0,2
109,0,1
110,0,2
111,0,2
112,0,2
113,0,2
114,0,2
115,0,2
116,0,1
117,0,2
118,0,1
119,0,2
120,0,1
121,0,2
122,0,0
123,0,2
124,0,0
125,0,2
126,0,1
127,0,0
128,0,0
129,0,2
130,0,0
131,0,1
132,0,2
133,0,1
134,0,1
135,0,2
136,0,0
137,0,2
138,0,0
139,0,1
140,0,1
141,0,0
142,0,1
143,0,0
144,0,1
145,0,1
146,0,0
147,0,1
148,0,0
149,0,0
150,0,0
151,0,1
152,0,0
153,0,1
154,0,0
155,0,1
156,0,0
157,0,0
158,0,2
159,0,2
160,0,1
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,1
169,0,2
170,0,0
171,0,0
172,0,1
173,0,0
174,0,0
175,0,2
176,0,1
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,1
184,0,0
185,0,1
186,0,2
187,0,0
188,0,0
189,0,0
190,0,1
191,0,0
192,0,0
193,0,1
194,0,2
195,0,2
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,2
204,0,1
205,0,0
206,0,0
207,0,0
208,0,1
209,0,0
210,0,1
211,0,0
212,0,0
213,0,1
214,0,0
215,0,0
216,0,1
217,0,0
218,0,0
219,0,1
220,0,0
221,0,2
222,0,0
223,0,0
224,0,0
225,0,2
226,0,0
227,0,1
228,0,0
229,0,1
230,0,0
231,0,0
232,0,0
233,0,1
234,0,1
235,0,0
236,0,0
237,0,0
238,0,0
239,0,1
240,0,1
241,0,0
242,0,0
243,0,0
244,0,1
245,0,1
246,0,1
247,0,2
248,0,0
249,0,1
250,0,1
251,0,1
252,0,0
253,0,0
254,0,0
255,0,1
256,0,2
257,0,1
258,0,1
259,0,2
260,0,2
261,0,2
262,0,2
263,0,2
264,0,2
265,0,2
266,0,2
267,0,2
268,0,2
269,0,2
270,0,0
271,0,2
272,0,2
273,0,2
274,0,1
275,0,2
276,0,1
277,0,2
