,epoch,times,negative ll,purity,cluster_partition
0,0,-164860.02800000002,204246.234375,0.5575,0.0
1,1,-100643.64258000001,106323.125,0.5566666666666668,0.0
2,2,-126984.72113999997,108503.4609375,0.6441666666666667,0.0
3,3,-152868.29286,118009.2265625,0.7883333333333334,0.0
4,4,-178306.26174000005,122673.1875,0.8775,0.0
5,5,-203799.92293999996,123834.734375,0.9133333333333333,0.0
6,6,-230569.1253,124055.6875,0.9400000000000001,0.0
7,7,-229109.18161999987,124196.515625,0.9583333333333334,0.0
8,8,-228686.80372000003,124287.2890625,0.9741666666666667,0.0
9,9,-230535.0718799999,124350.21875,0.98,0.0
