,epoch,times,negative ll,purity,cluster_partition
0,0,-245211.78238000022,269920.21875,0.29374999999999996,0.0
1,1,-153940.49736000015,130013.96875,0.42937499999999995,0.0
2,2,-193797.9707999993,136211.171875,0.575,0.0
3,3,-233805.3462599998,149321.671875,0.784375,0.0
4,4,-273766.1917800002,152021.671875,0.8325,0.0
5,5,-313581.37809999986,152882.109375,0.8375,0.0
6,6,-351997.8641199996,153373.375,0.848125,0.0
7,7,-351199.24216000014,153898.3125,0.87625,0.0
8,8,-351160.5229400005,154042.203125,0.8831249999999999,0.0
9,9,-349335.53412000067,154082.15625,0.8793750000000002,0.0
