,time,event
0,0.06725183511990188,3.0
1,0.5827593147738931,0.0
2,1.515088847679944,4.0
3,1.7534929835901014,1.0
4,2.1397807106427265,4.0
5,2.2515332466183695,2.0
6,2.2671411895365337,0.0
7,2.4556074349771158,4.0
8,2.8539774892421748,2.0
9,2.9365352876208073,1.0
10,2.972238690739337,0.0
11,3.039881641504191,1.0
12,3.5203411489061884,2.0
13,3.6454347133543163,3.0
14,3.7449490550533224,0.0
15,4.091954064045443,0.0
16,4.207689470895762,0.0
17,4.292180149338866,2.0
18,4.361658633788304,1.0
19,4.53735013815049,2.0
20,4.725650505475516,1.0
21,4.751887422092598,0.0
22,4.856545907916155,2.0
23,5.037939495599821,4.0
24,5.104243575377699,3.0
25,5.121128892444332,3.0
26,5.1284896240977815,4.0
27,5.147484493192737,0.0
28,5.171925702454585,3.0
29,5.185217341765462,1.0
30,5.203958170015417,0.0
31,5.204121433370934,1.0
32,5.208345443225857,4.0
33,5.209941943884639,0.0
34,5.246364538413389,0.0
35,5.328258520765751,2.0
36,5.357420894986303,2.0
37,5.366318969452094,0.0
38,5.435372408066255,1.0
39,5.614156915530083,0.0
40,5.649839056056335,4.0
41,5.910454366807792,3.0
42,6.4500135714717475,0.0
43,6.67522724174246,2.0
44,6.7868002967378525,3.0
45,6.819566237116357,0.0
46,7.565819513251388,1.0
47,7.643016569606369,4.0
48,7.722689629713563,2.0
49,7.995837407465173,0.0
50,8.013053102498406,2.0
51,9.087044035304714,0.0
52,9.531088901999007,1.0
53,9.746889826138792,0.0
54,9.771588447297647,3.0
55,9.7841898329638,2.0
56,9.896812534901509,3.0
57,9.928593747299002,1.0
58,9.95392398775198,1.0
59,10.195925417699053,3.0
60,10.283999303805219,0.0
61,10.383151666360428,4.0
62,10.385348259827012,4.0
63,10.434541793260335,0.0
64,10.94702139820494,4.0
65,11.009708163094556,3.0
66,11.116713323036777,0.0
67,11.245418766332492,3.0
68,11.330504452330175,4.0
69,11.368259004771874,0.0
70,11.426004927193485,4.0
71,11.449882155200765,1.0
72,11.593270589735297,3.0
73,11.630150979881265,2.0
74,11.79144398429181,0.0
75,11.911430020994462,2.0
76,12.14765412119566,2.0
77,12.176433988658319,3.0
78,12.19621812252911,3.0
79,12.22573950449968,4.0
80,12.494119475221327,0.0
81,12.5299259694545,4.0
82,12.584770324072831,4.0
83,12.659428136941163,2.0
84,12.70276086060629,4.0
85,12.734698977716699,2.0
86,12.788675613962328,1.0
87,12.810462665462122,4.0
88,12.825224262052206,1.0
89,12.85403180199013,0.0
90,12.855205492356593,1.0
91,12.878086513545103,2.0
92,12.89536130116926,2.0
93,12.926156207477792,2.0
94,13.025020587115662,3.0
95,13.031601629847087,1.0
96,13.149034991834077,0.0
97,13.309002279706176,2.0
98,13.445563458964685,3.0
99,13.484980360300346,1.0
100,13.50231101516613,4.0
101,13.636684269038463,3.0
102,14.244866377026506,3.0
103,14.321277019054008,0.0
104,14.33822189277768,4.0
105,14.452769431055096,0.0
106,14.667846893576913,1.0
107,14.947788065492999,1.0
108,14.977162514174333,0.0
109,15.46530747809918,2.0
110,15.480418438122589,2.0
111,15.569126280146264,1.0
112,15.800908037437262,0.0
113,16.036112163981027,1.0
114,16.044599114051444,3.0
115,16.075088393723288,0.0
116,16.212445727416263,3.0
117,16.240659665963975,0.0
118,16.24223572675897,0.0
119,16.32182793630458,4.0
120,16.5756955099416,0.0
121,16.643143297023386,1.0
122,17.11877184884316,3.0
123,17.36415736400584,3.0
124,17.44508022038397,0.0
125,17.583072972876096,0.0
126,17.850246125646578,1.0
127,17.92494318572595,4.0
128,18.008061290003752,0.0
129,18.178516857370624,1.0
130,18.71607400524538,0.0
131,18.90675178777412,1.0
132,19.3607410686027,0.0
133,19.393094015136104,0.0
134,19.87600287072748,0.0
