,epoch,times,negative ll,purity,cluster_partition
0,0,-65889.20312,87446.2109375,0.925,0.0
1,1,-30140.015300000006,85618.9140625,0.8300000000000001,0.0
2,2,-38502.86796,90017.59375,0.9512499999999999,0.0
3,3,-46754.505760000015,85734.640625,0.98625,0.0
4,4,-55637.903399999996,81953.78125,0.9487500000000001,0.0
5,5,-63141.981159999996,82888.65625,0.96125,0.0
6,6,-72315.22462000005,84826.765625,0.99875,0.0
7,7,-72387.28178000005,83545.46875,1.0,0.0
8,8,-72531.77840000004,83188.4296875,1.0000000000000002,0.0
9,9,-72648.73127999999,83621.7265625,0.9999999999999999,0.0
