,Unnamed: 0,Unnamed: 0.1,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time,k_shape_clusters,k_means_softdtw_clusters
0,0,0,1,564.6763,717,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,3
1,1,1,1,564.6763,846,0,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
2,2,2,0,564.6763,879,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,2
3,3,3,3,564.6763,856,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
4,4,4,3,564.6763,696,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,0
5,5,5,2,564.6763,735,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,1
6,6,6,2,564.6763,942,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,0
7,7,7,0,564.6763,701,0,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
8,8,8,0,564.6763,722,0,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,2
9,9,9,1,564.6763,797,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
10,10,10,1,564.6763,868,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,3
11,11,11,2,564.6763,763,2,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,3
12,12,12,0,564.6763,801,0,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,1
13,13,13,0,564.6763,887,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,2
14,14,14,3,564.6763,846,2,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,0,3
15,15,15,2,564.6763,889,0,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,2,0
16,16,16,3,564.6763,909,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,3
17,17,17,0,564.6763,923,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,2
18,18,18,3,564.6763,974,0,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,2,0
19,19,19,3,564.6763,809,0,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,0
20,20,20,3,564.6763,767,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,2
21,21,21,0,564.6763,863,2,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,0,2
22,22,22,2,564.6763,768,1,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,2,0
23,23,23,2,564.6763,715,0,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,2
24,24,24,1,564.6763,1033,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,0,3
25,25,25,1,564.6763,1031,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,0,0
26,26,26,3,564.6763,1121,3,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,0,0
27,27,27,2,564.6763,912,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,1
28,28,28,2,564.6763,845,0,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,2
29,29,29,1,564.6763,1041,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,0
30,30,30,1,564.6763,784,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,3
31,31,31,3,564.6763,721,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,2
32,32,32,3,564.6763,690,3,0,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,1
33,33,33,1,564.6763,938,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,3
34,34,34,0,564.6763,774,0,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
35,35,35,1,564.6763,939,2,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,0,0
36,36,36,2,564.6763,784,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,2
37,37,37,0,564.6763,802,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
38,38,38,1,564.6763,1082,1,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,2
39,39,39,3,564.6763,948,3,2,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,1
40,40,40,0,564.6763,840,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,0
41,41,41,3,564.6763,784,3,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,3
42,42,42,3,564.6763,802,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,1
43,43,43,1,564.6763,880,0,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,2,0
44,44,44,2,564.6763,1096,0,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,2,2
45,45,45,3,564.6763,955,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,1
46,46,46,3,564.6763,826,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,0
47,47,47,0,564.6763,1108,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,0
48,48,48,1,564.6763,922,3,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,3
49,49,49,1,564.6763,974,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,3
50,50,50,2,564.6763,735,2,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,1
51,51,51,2,564.6763,1118,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
52,52,52,2,564.6763,723,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,0
53,53,53,3,564.6763,1007,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,2
54,54,54,2,564.6763,873,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,0
55,55,55,1,564.6763,1019,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,0
56,56,56,3,564.6763,753,2,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,1
57,57,57,0,564.6763,848,3,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,2
58,58,58,1,564.6763,882,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
59,59,59,0,564.6763,1007,0,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,0,0
60,60,60,0,564.6763,992,3,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,2
61,61,61,1,564.6763,1122,0,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,2
62,62,62,1,564.6763,759,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
63,63,63,2,564.6763,847,3,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,0,0
64,64,64,1,564.6763,805,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,0
65,65,65,0,564.6763,920,0,3,144213.64273,-1,145961.60025,1,144617.0765,-1,145105.75705,2,2
66,66,66,1,564.6763,933,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
67,67,67,2,564.6763,745,2,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,2
68,68,68,2,564.6763,724,2,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,0
69,69,69,2,564.6763,732,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,2
70,70,70,3,564.6763,811,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
71,71,71,0,564.6763,948,3,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,3,1
72,72,72,2,564.6763,975,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,1
73,73,73,3,564.6763,1039,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,3,0
74,74,74,1,564.6763,781,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,1
75,75,75,1,564.6763,886,2,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,2
76,76,76,1,564.6763,829,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
77,77,77,2,564.6763,915,1,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,0,3
78,78,78,3,564.6763,1030,1,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,0,0
79,79,79,2,564.6763,970,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,0,2
80,80,80,0,564.6763,749,1,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,2
81,81,81,1,564.6763,971,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,1
82,82,82,3,564.6763,826,3,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,2,1
83,83,83,1,564.6763,760,1,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,3
84,84,84,3,564.6763,912,3,3,144213.64273,-1,145961.60025,3,144617.0765,-1,145105.75705,2,0
85,85,85,3,564.6763,923,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,2
86,86,86,3,564.6763,710,1,3,144213.64273,-1,145961.60025,0,144617.0765,-1,145105.75705,0,0
87,87,87,3,564.6763,760,0,3,144213.64273,-1,145961.60025,2,144617.0765,-1,145105.75705,2,0
