,epoch,times,negative ll,purity,cluster_partition
0,0,-79707.58864000003,93142.1328125,0.7475,0.0
1,1,-42640.905420000054,89144.7734375,0.9999999999999999,0.0
2,2,-54817.46950000001,88506.5625,1.0,0.0
3,3,-66880.2391199999,88370.2734375,1.0,0.0
4,4,-78941.7181,88285.109375,0.9999999999999999,0.0
5,5,-91026.59744000004,88216.4609375,1.0,0.0
6,6,-103154.80693999983,88168.421875,0.9999999999999999,0.0
7,7,-103184.26810000004,88136.859375,1.0,0.0
8,8,-103247.66395999992,88115.6953125,1.0,0.0
9,9,-103153.25523999985,88101.3125,1.0,0.0
