,epoch,times,negative ll,purity,cluster_partition
0,0,-73236.90844000026,84644.421875,0.8912500000000001,0.0
1,1,-34019.41820000007,84024.71875,0.8887499999999999,0.0
2,2,-43851.944220000296,90745.1953125,0.97875,0.0
3,3,-53674.905100000324,88633.7578125,1.0,0.0
4,4,-63464.23071999976,82195.234375,0.9912500000000002,0.0
5,5,-73216.28802000021,82258.484375,0.94,0.0
6,6,-83041.37606000004,85119.2734375,0.9962499999999999,0.0
7,7,-83000.2120399999,84147.921875,1.0,0.0
8,8,-83015.2882800001,82979.6875,1.0,0.0
9,9,-83023.70110000018,82816.5,1.0,0.0
