,epoch,times,negative ll,purity,cluster_partition
0,0,-79863.80474000005,91232.7578125,0.6749999999999999,0.0
1,1,-42762.87145999988,87965.8828125,1.0,0.0
2,2,-54827.0665800001,88256.71875,1.0,0.0
3,3,-66936.83092000021,88210.875,1.0,0.0
4,4,-78955.72518000001,88155.234375,1.0,0.0
5,5,-91118.23902000004,88117.4609375,1.0,0.0
6,6,-103155.73782000021,88097.515625,1.0,0.0
7,7,-103161.16848000005,88086.5859375,1.0,0.0
8,8,-103193.02876000002,88081.1328125,1.0,0.0
9,9,-103187.37471999979,88078.6796875,1.0,0.0
