,cluster_id,cluster_cohortney
0,7,3
1,7,2
2,5,5
3,7,0
4,3,0
5,3,1
6,1,0
7,8,0
8,0,0
9,6,6
10,5,0
11,7,0
12,6,0
13,7,6
14,7,3
15,3,2
16,6,0
17,8,0
18,1,5
19,6,5
20,2,0
21,1,0
22,5,0
23,7,4
24,6,0
25,7,0
26,3,0
27,2,0
28,1,0
29,1,0
30,7,0
31,6,5
32,6,4
33,6,4
34,7,2
35,1,2
36,1,4
37,8,6
38,8,4
39,8,4
40,1,4
41,1,4
42,8,2
43,8,4
44,8,4
45,8,4
46,5,4
47,8,4
48,7,4
49,4,4
50,5,6
51,7,4
52,7,1
53,3,4
54,1,4
55,8,3
56,6,6
57,3,0
58,7,4
59,5,4
60,2,4
61,6,4
62,0,5
63,7,4
64,6,5
65,7,2
66,7,2
67,7,2
68,2,2
69,2,5
70,8,2
71,7,2
72,3,2
73,1,6
74,6,2
75,7,2
76,3,2
77,5,2
78,6,2
79,6,6
80,5,2
81,8,2
82,4,2
83,7,1
84,8,2
85,7,2
86,1,2
87,8,2
88,6,6
89,0,4
90,6,2
91,5,2
92,0,3
93,6,2
94,7,2
95,2,0
96,5,4
97,7,3
98,5,4
99,2,4
100,6,4
101,8,2
102,7,1
103,6,4
104,5,6
105,2,6
106,8,4
107,6,6
108,1,4
109,2,5
110,1,4
111,2,2
112,5,4
113,6,5
114,5,2
115,7,4
116,7,4
117,2,4
118,2,4
119,1,4
120,6,0
121,8,4
122,8,4
123,6,4
124,0,0
125,3,4
126,7,0
127,1,4
128,1,3
129,6,3
130,2,3
131,7,0
132,8,3
133,7,3
134,7,3
135,1,3
136,7,3
137,8,5
138,7,3
139,7,3
140,5,3
141,2,3
142,2,3
143,2,3
144,8,3
145,7,3
146,2,3
147,5,3
148,2,3
149,1,3
150,2,3
151,5,1
152,7,1
153,2,3
154,7,2
155,6,3
156,1,3
157,3,6
158,1,4
159,6,3
160,0,0
161,7,5
162,6,1
163,6,1
164,1,1
165,5,1
166,2,1
167,0,1
168,2,0
169,1,1
170,7,3
171,7,1
172,1,2
173,3,1
174,3,1
175,3,0
176,8,1
177,8,1
178,0,1
179,7,1
180,5,1
181,8,1
182,1,6
183,7,1
184,6,1
185,8,1
186,2,0
187,8,1
188,1,1
189,5,1
190,2,1
191,6,4
192,7,4
193,7,4
194,7,1
195,2,4
196,2,4
197,1,4
198,7,3
199,7,3
200,7,5
201,6,6
202,2,6
203,5,4
204,4,2
205,3,4
206,6,4
207,6,4
208,4,4
209,3,4
210,1,4
211,1,4
212,7,0
213,2,4
214,7,4
215,2,4
216,7,4
217,2,4
218,7,4
219,2,4
220,2,4
221,0,4
222,1,4
223,3,4
224,8,4
225,6,5
226,0,4
227,1,4
228,1,3
229,1,4
230,7,2
231,4,4
232,1,1
233,8,0
234,7,4
235,2,0
236,1,4
237,8,4
238,7,1
239,0,4
240,0,4
241,8,6
242,1,5
243,2,4
244,2,4
245,6,3
246,5,3
247,3,3
248,2,4
249,7,4
250,8,4
251,0,5
252,1,5
253,6,4
254,7,4
255,5,2
256,2,6
257,8,6
258,1,0
259,1,6
260,8,6
261,1,0
262,8,6
263,7,6
264,3,6
265,5,6
266,6,6
267,8,6
268,7,6
269,8,6
270,4,6
271,6,6
272,2,3
273,7,6
274,3,6
275,8,6
276,7,6
277,7,5
278,6,6
279,7,6
280,3,1
281,5,3
282,8,6
283,0,6
284,3,4
285,8,2
286,7,6
287,2,6
288,8,4
289,7,1
290,4,1
291,7,1
292,2,1
293,1,1
294,7,1
295,2,5
296,6,1
297,2,1
298,7,4
299,3,1
300,2,1
301,7,1
302,2,4
303,3,4
304,6,1
305,3,1
306,3,1
307,6,1
308,6,1
309,5,1
310,2,1
311,8,1
312,5,6
313,1,0
314,5,1
315,2,1
316,3,3
317,3,1
318,6,2
319,8,2
320,3,4
321,8,4
322,8,4
323,7,4
324,0,4
325,2,2
326,1,6
327,8,1
328,1,4
329,5,4
330,2,3
331,0,4
332,7,6
333,6,4
334,3,4
