,cluster_id,cluster_tslearn
0,0,2
1,0,3
2,0,1
3,0,2
4,0,1
5,0,2
6,0,3
7,0,3
8,0,1
9,0,0
10,0,0
11,0,1
12,0,2
13,0,3
14,0,2
15,0,1
16,0,0
17,0,3
18,0,0
19,0,1
20,0,1
21,0,1
22,0,2
23,0,2
24,0,3
25,0,0
26,0,2
27,0,3
28,0,2
29,0,1
30,0,2
31,0,2
32,0,1
33,0,1
34,0,1
35,0,1
36,0,1
37,0,2
38,0,1
39,0,0
40,0,2
41,0,0
42,0,0
43,0,0
44,0,2
45,0,2
46,0,1
47,0,2
48,0,2
49,0,0
50,0,3
51,0,0
52,0,1
53,0,1
54,0,3
55,0,1
56,0,0
57,0,1
58,0,2
59,0,0
60,0,1
61,0,3
62,0,1
63,0,3
64,0,2
65,0,3
66,0,2
67,0,2
68,0,3
69,0,0
70,0,2
71,0,3
72,0,1
73,0,1
74,0,3
75,0,1
76,0,1
77,0,2
78,0,0
79,0,1
80,0,1
81,0,2
82,0,1
83,0,3
84,0,1
85,0,1
86,0,3
87,0,1
88,0,1
89,0,0
90,0,1
91,0,1
92,0,1
93,0,0
94,0,3
95,0,1
96,0,3
97,0,2
98,0,1
99,0,1
100,0,1
101,0,3
102,0,2
103,0,0
104,0,2
105,0,0
106,0,2
107,0,1
108,0,3
109,0,0
110,0,1
111,0,1
112,0,1
113,0,1
114,0,2
115,0,2
116,0,2
117,0,2
118,0,3
119,0,2
120,0,2
121,0,1
122,0,2
123,0,1
124,0,2
125,0,0
126,0,2
127,0,1
128,0,4
129,0,1
130,0,4
131,0,2
132,0,1
133,0,0
134,0,0
135,0,1
136,0,0
137,0,0
138,0,2
139,0,4
140,0,0
141,0,2
142,0,2
143,0,4
144,0,4
145,0,0
146,0,0
147,0,4
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,1
154,0,2
155,0,4
156,0,4
157,0,0
158,0,4
159,0,1
160,0,0
161,0,4
162,0,1
163,0,4
164,0,1
165,0,2
166,0,1
167,0,4
168,0,0
169,0,4
170,0,0
171,0,4
172,0,4
173,0,0
174,0,0
175,0,4
176,0,2
177,0,4
178,0,4
179,0,4
180,0,4
181,0,0
182,0,4
183,0,4
184,0,0
185,0,1
186,0,0
187,0,2
188,0,0
189,0,2
190,0,2
191,0,4
192,0,1
193,0,1
194,0,4
195,0,0
196,0,4
197,0,2
198,0,4
199,0,4
200,0,1
201,0,0
202,0,4
203,0,0
204,0,4
205,0,1
206,0,4
207,0,2
208,0,0
209,0,0
210,0,4
211,0,4
212,0,1
213,0,1
214,0,0
215,0,0
216,0,0
217,0,1
218,0,2
219,0,4
220,0,4
221,0,4
222,0,4
223,0,2
224,0,0
225,0,4
226,0,0
227,0,1
228,0,4
229,0,2
230,0,4
231,0,0
232,0,2
233,0,1
234,0,4
235,0,0
236,0,1
237,0,2
238,0,4
239,0,4
240,0,4
241,0,0
242,0,4
243,0,2
244,0,2
245,0,4
246,0,0
247,0,4
248,0,4
249,0,1
250,0,0
251,0,0
252,0,2
253,0,1
254,0,1
255,0,2
256,0,2
257,0,2
258,0,2
259,0,2
260,0,2
261,0,2
262,0,2
263,0,2
264,0,2
265,0,2
266,0,3
267,0,2
268,0,4
269,0,2
270,0,3
271,0,2
272,0,2
273,0,2
274,0,2
275,0,2
276,0,2
277,0,4
278,0,2
279,0,2
280,0,2
281,0,2
282,0,2
283,0,4
284,0,2
285,0,2
286,0,2
287,0,2
288,0,2
289,0,2
290,0,2
291,0,2
292,0,2
293,0,3
294,0,3
295,0,2
296,0,2
297,0,3
298,0,2
299,0,2
300,0,2
301,0,2
302,0,2
303,0,2
304,0,2
305,0,2
306,0,2
307,0,2
308,0,4
309,0,2
310,0,2
311,0,2
312,0,2
313,0,4
314,0,2
315,0,4
316,0,2
317,0,2
318,0,2
319,0,2
320,0,2
321,0,3
322,0,2
323,0,2
324,0,2
325,0,2
326,0,2
327,0,2
328,0,2
