,epoch,times,negative ll,purity,cluster_partition
0,0,-73189.72395999997,90463.0703125,0.95625,0.0
1,1,-34027.67292000004,87862.40625,0.9750000000000001,0.0
2,2,-43868.737519999995,87994.03125,0.9762500000000001,0.0
3,3,-53708.76571999994,88264.5,0.9925,0.0
4,4,-63440.43396000008,86059.125,0.9987500000000001,0.0
5,5,-73227.95115999994,84110.8046875,1.0,0.0
6,6,-83017.58488000007,82159.421875,1.0,0.0
7,7,-83057.34255999996,82091.171875,1.0,0.0
8,8,-83044.44206,82168.6953125,1.0,0.0
9,9,-83076.13312000001,82204.5859375,1.0,0.0
