,cluster_id,cluster_thp
0,1,1
1,0,0
2,1,1
3,0,0
4,1,1
5,1,0
6,1,0
7,0,0
8,1,1
9,1,1
10,0,0
11,1,0
12,1,1
13,1,0
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,0
20,0,0
21,0,0
22,1,1
23,1,1
24,1,1
25,0,0
26,0,0
27,0,0
28,1,1
29,0,0
30,0,0
31,0,0
32,0,1
33,0,1
34,1,1
35,0,1
36,1,1
37,0,1
38,0,1
39,0,1
40,1,1
41,0,1
42,1,1
43,1,1
44,1,1
45,0,1
46,0,1
47,1,1
48,1,1
49,0,1
50,0,1
51,1,1
52,0,1
53,0,1
54,0,1
55,1,1
56,1,0
57,1,1
58,1,1
59,1,0
60,1,0
61,0,1
62,0,1
63,0,0
64,1,0
65,1,0
66,0,1
67,1,1
68,0,0
69,0,1
70,0,1
71,0,0
72,1,0
73,0,0
74,0,1
75,0,1
76,1,0
77,1,1
78,1,1
79,1,1
80,0,1
81,1,1
82,0,1
83,0,1
84,0,1
85,0,1
86,0,1
87,1,0
88,0,1
89,0,1
90,1,1
91,0,1
92,0,1
93,0,1
94,1,1
95,0,1
96,0,1
97,0,1
98,0,1
99,0,1
100,1,0
101,0,1
102,1,1
103,0,1
104,0,1
105,1,1
106,1,1
107,0,1
108,0,1
109,1,1
110,0,1
111,0,1
112,1,1
113,0,1
114,1,1
115,1,1
116,0,1
117,1,1
118,1,1
119,1,1
120,1,1
121,0,1
122,1,1
123,1,1
124,1,1
125,0,1
126,0,1
127,0,1
128,0,0
129,0,0
130,0,0
131,1,0
132,1,0
133,0,0
134,0,0
135,1,0
136,0,0
137,0,0
138,1,0
139,1,0
140,1,0
141,0,0
142,1,0
143,1,0
144,0,0
145,0,1
146,0,0
147,1,1
148,0,0
149,1,1
150,1,0
151,0,0
152,0,0
153,0,0
154,1,0
155,1,0
156,1,0
157,1,1
158,1,0
159,1,0
160,0,0
161,1,0
162,1,0
163,0,0
164,1,0
165,0,1
166,0,1
167,1,1
168,0,1
169,0,1
170,0,0
171,0,0
172,1,0
173,0,1
174,0,1
175,1,0
176,0,0
177,0,0
178,1,1
179,0,1
180,0,1
181,0,0
182,0,0
183,1,1
184,1,1
185,0,1
186,1,1
187,1,1
188,1,1
189,0,1
190,1,1
191,0,1
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,1,0
198,0,0
199,1,0
200,0,1
201,0,0
202,1,0
203,0,0
204,1,0
205,1,0
206,1,0
207,0,0
208,1,0
209,1,0
210,0,0
211,1,0
212,1,0
213,0,0
214,1,0
215,1,0
216,1,0
217,1,0
218,1,0
219,1,0
220,1,0
221,0,0
222,1,0
223,1,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,1
232,1,0
233,0,0
234,1,1
235,1,1
236,1,0
237,0,1
238,1,1
239,1,0
240,1,0
241,0,1
242,1,0
243,1,0
244,1,1
245,0,0
246,0,1
247,1,1
248,1,0
249,0,1
250,1,0
251,0,1
252,0,1
253,0,1
254,0,1
255,1,1
256,1,0
257,1,1
258,1,1
259,1,1
260,0,0
261,0,0
262,0,1
263,0,0
264,1,0
265,1,0
266,0,0
267,1,1
268,0,1
269,0,1
270,0,1
271,0,0
272,1,0
273,0,0
274,0,1
275,0,1
276,0,0
277,0,0
278,1,1
279,1,1
280,0,1
281,0,0
282,1,0
283,1,1
284,0,1
285,0,1
286,1,1
287,1,1
288,0,1
289,0,1
290,1,1
291,0,1
292,0,1
293,0,1
294,1,1
295,0,1
296,0,1
297,1,1
298,0,1
299,0,1
300,1,1
301,0,0
302,1,1
303,0,1
304,0,0
305,1,1
306,1,1
307,0,1
308,0,1
309,1,1
310,0,1
311,0,1
312,1,1
313,0,1
314,1,1
315,1,1
316,0,1
317,1,1
318,1,1
319,1,1
320,0,1
321,0,0
322,1,1
323,1,1
324,1,1
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,1,1
332,1,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,1
338,1,0
339,1,1
340,1,1
341,0,0
342,1,1
343,1,0
344,0,0
345,0,0
346,0,0
347,1,1
348,0,0
349,0,0
350,0,0
351,0,1
352,0,1
353,0,1
354,1,1
355,1,1
356,1,1
357,1,0
358,1,0
359,1,1
360,0,1
361,1,0
362,1,0
363,0,0
364,1,0
365,0,1
366,0,1
367,1,1
368,0,1
369,0,1
370,0,0
371,0,0
372,1,0
373,0,0
374,0,1
375,1,0
376,0,1
377,0,1
378,0,1
379,0,1
380,0,1
381,0,1
382,0,1
383,0,1
384,1,1
385,0,0
386,0,0
387,1,1
388,1,1
389,0,0
390,1,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,1,1
401,0,1
402,1,1
403,0,1
404,0,0
405,1,1
406,1,1
407,0,0
408,0,0
409,1,0
410,0,0
411,0,0
412,1,1
413,0,0
414,1,1
415,1,0
416,1,1
417,1,1
418,1,1
419,1,1
420,0,1
421,0,1
422,1,0
423,1,1
424,1,1
425,0,1
426,0,0
427,0,1
428,1,1
429,0,1
430,0,1
431,1,1
432,1,1
433,0,1
434,0,0
435,0,1
436,0,1
437,0,0
438,0,1
439,0,1
440,0,1
441,0,0
442,1,1
443,1,1
