,epoch,times,negative ll,purity,cluster_partition
0,0,-247189.39330000023,273163.1875,0.350625,0.0
1,1,-155770.9022199997,148850.859375,0.62625,0.0
2,2,-196234.36056000006,136212.453125,0.5662499999999999,0.0
3,3,-236409.14224000007,148013.515625,0.74625,0.0
4,4,-276861.6068800003,151802.625,0.84125,0.0
5,5,-317480.88141999964,152495.859375,0.848125,0.0
6,6,-358085.49732000043,153412.078125,0.855625,0.0
7,7,-355592.9473600001,154022.015625,0.8562499999999998,0.0
8,8,-354898.8582200004,154285.671875,0.8587500000000001,0.0
9,9,-354964.00794000016,154401.125,0.8612500000000001,0.0
