,Unnamed: 0,Unnamed: 0.1,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,gmm_clusters,gmm_time,k_shape_clusters,k_means_softdtw_clusters
0,0,0,0,24.83817,1000,2,0,239.08885,2,237.9162,3,2
1,1,1,0,24.83817,689,2,0,239.08885,2,237.9162,3,2
2,2,2,0,24.83817,1000,2,1,239.08885,2,237.9162,2,1
3,3,3,0,24.83817,1000,2,1,239.08885,2,237.9162,3,2
4,4,4,0,24.83817,1000,2,0,239.08885,2,237.9162,3,2
5,5,5,0,24.83817,682,2,1,239.08885,2,237.9162,2,2
6,6,6,0,24.83817,796,2,0,239.08885,2,237.9162,3,2
7,7,7,0,24.83817,1000,2,0,239.08885,2,237.9162,3,2
8,8,8,0,24.83817,1000,2,0,239.08885,2,237.9162,3,2
9,9,9,0,24.83817,461,2,1,239.08885,2,237.9162,3,1
10,10,10,0,24.83817,1000,2,1,239.08885,2,237.9162,3,1
11,11,11,0,24.83817,779,2,0,239.08885,2,237.9162,3,1
12,12,12,0,24.83817,942,2,0,239.08885,2,237.9162,3,2
13,13,13,0,24.83817,520,2,1,239.08885,2,237.9162,3,2
14,14,14,0,24.83817,990,2,1,239.08885,2,237.9162,3,1
15,15,15,0,24.83817,1000,2,0,239.08885,2,237.9162,3,2
16,16,16,0,24.83817,463,2,1,239.08885,2,237.9162,3,1
17,17,17,0,24.83817,791,2,1,239.08885,2,237.9162,2,2
18,18,18,0,24.83817,867,2,1,239.08885,2,237.9162,3,2
19,19,19,0,24.83817,446,2,0,239.08885,2,237.9162,3,2
20,20,20,0,24.83817,865,2,1,239.08885,2,237.9162,3,1
21,21,21,0,24.83817,1000,2,0,239.08885,2,237.9162,3,2
22,22,22,0,24.83817,954,2,1,239.08885,2,237.9162,3,2
23,23,23,0,24.83817,1000,2,1,239.08885,2,237.9162,3,1
24,24,24,0,24.83817,669,2,0,239.08885,2,237.9162,3,2
25,25,25,0,24.83817,442,2,0,239.08885,2,237.9162,3,2
26,26,26,0,24.83817,878,2,0,239.08885,2,237.9162,3,2
27,27,27,0,24.83817,1000,2,1,239.08885,2,237.9162,3,1
28,28,28,0,24.83817,839,2,1,239.08885,2,237.9162,3,2
