,epoch,times,negative ll,purity,cluster_partition
0,0,-128582.32358,144269.046875,0.5408333333333334,0.0
1,1,-74849.36232,104412.6171875,0.6,0.0
2,2,-95693.09496000002,107789.59375,0.8675,0.0
3,3,-116464.79061999999,108318.5,0.9475000000000001,0.0
4,4,-137106.25439999998,108354.4453125,0.9683333333333334,0.0
5,5,-157867.87270000007,108418.4296875,0.965,0.0
6,6,-178522.86678000004,108498.4453125,0.9591666666666667,0.0
7,7,-178536.8664,108490.7109375,0.9558333333333334,0.0
8,8,-178597.31776,108433.3125,0.9541666666666668,0.0
9,9,-178527.77988000016,108378.765625,0.9450000000000001,0.0
