,epoch,times,negative ll,purity,cluster_partition
0,0,-106856.61415999988,142366.890625,0.7300000000000001,0.0
1,1,-66404.46155999991,74631.0,0.62625,0.0
2,2,-81957.9381600002,77343.140625,0.8325,0.0
3,3,-97804.68304000009,79346.6328125,0.95375,0.0
4,4,-115750.78096000012,79738.0625,0.97625,0.0
5,5,-130903.96875999984,79851.7890625,0.99125,0.0
6,6,-149471.66629999992,79871.328125,0.9912500000000001,0.0
7,7,-147681.34026000043,79872.984375,0.9925,0.0
8,8,-149345.0273800001,79873.3203125,0.9924999999999999,0.0
9,9,-123278.44580000034,79871.84375,0.9925,0.0
