,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,0,12.45007,50,1,1,232.33957,18,229.34416,2,232.65305,-1,230.81991
1,0,12.45007,50,1,1,232.33957,1,229.34416,2,232.65305,-1,230.81991
2,0,12.45007,50,1,1,232.33957,20,229.34416,2,232.65305,-1,230.81991
3,0,12.45007,50,1,1,232.33957,18,229.34416,2,232.65305,-1,230.81991
4,0,12.45007,50,1,1,232.33957,20,229.34416,2,232.65305,-1,230.81991
5,0,12.45007,50,1,1,232.33957,16,229.34416,2,232.65305,-1,230.81991
6,0,12.45007,50,1,1,232.33957,11,229.34416,2,232.65305,-1,230.81991
7,0,12.45007,50,1,0,232.33957,15,229.34416,2,232.65305,-1,230.81991
8,0,12.45007,50,1,1,232.33957,23,229.34416,2,232.65305,-1,230.81991
9,0,12.45007,50,1,0,232.33957,19,229.34416,2,232.65305,-1,230.81991
10,0,12.45007,50,1,1,232.33957,15,229.34416,2,232.65305,-1,230.81991
11,0,12.45007,50,1,0,232.33957,7,229.34416,0,232.65305,-1,230.81991
12,0,12.45007,50,1,0,232.33957,10,229.34416,2,232.65305,-1,230.81991
13,0,12.45007,50,1,1,232.33957,16,229.34416,2,232.65305,-1,230.81991
14,0,12.45007,50,1,1,232.33957,23,229.34416,2,232.65305,-1,230.81991
15,0,12.45007,50,1,1,232.33957,14,229.34416,2,232.65305,-1,230.81991
16,0,12.45007,50,1,0,232.33957,21,229.34416,2,232.65305,-1,230.81991
17,0,12.45007,50,1,1,232.33957,16,229.34416,2,232.65305,-1,230.81991
18,0,12.45007,50,1,1,232.33957,16,229.34416,2,232.65305,-1,230.81991
19,0,12.45007,50,1,1,232.33957,26,229.34416,2,232.65305,-1,230.81991
20,0,12.45007,50,1,0,232.33957,21,229.34416,0,232.65305,-1,230.81991
21,0,12.45007,50,1,0,232.33957,21,229.34416,2,232.65305,-1,230.81991
22,0,12.45007,50,1,0,232.33957,9,229.34416,2,232.65305,-1,230.81991
23,0,12.45007,50,1,1,232.33957,25,229.34416,2,232.65305,-1,230.81991
24,0,12.45007,50,1,0,232.33957,9,229.34416,2,232.65305,-1,230.81991
25,0,12.45007,50,1,0,232.33957,2,229.34416,2,232.65305,-1,230.81991
26,0,12.45007,50,1,0,232.33957,20,229.34416,2,232.65305,-1,230.81991
27,0,12.45007,50,1,1,232.33957,22,229.34416,2,232.65305,-1,230.81991
28,0,12.45007,50,1,1,232.33957,5,229.34416,2,232.65305,-1,230.81991
29,0,12.45007,50,1,1,232.33957,11,229.34416,2,232.65305,-1,230.81991
30,0,12.45007,50,1,1,232.33957,22,229.34416,2,232.65305,-1,230.81991
31,0,12.45007,50,1,0,232.33957,13,229.34416,2,232.65305,-1,230.81991
32,0,12.45007,50,1,0,232.33957,25,229.34416,2,232.65305,-1,230.81991
33,0,12.45007,50,1,1,232.33957,16,229.34416,2,232.65305,-1,230.81991
34,0,12.45007,50,1,0,232.33957,19,229.34416,2,232.65305,-1,230.81991
35,0,12.45007,50,1,0,232.33957,8,229.34416,2,232.65305,-1,230.81991
36,0,12.45007,50,1,1,232.33957,23,229.34416,0,232.65305,-1,230.81991
37,0,12.45007,50,1,1,232.33957,11,229.34416,2,232.65305,-1,230.81991
38,0,12.45007,50,1,1,232.33957,23,229.34416,2,232.65305,-1,230.81991
39,0,12.45007,50,1,1,232.33957,25,229.34416,2,232.65305,-1,230.81991
40,0,12.45007,50,1,0,232.33957,20,229.34416,0,232.65305,-1,230.81991
41,0,12.45007,50,1,1,232.33957,20,229.34416,2,232.65305,-1,230.81991
42,0,12.45007,50,1,0,232.33957,24,229.34416,2,232.65305,-1,230.81991
43,0,12.45007,50,1,0,232.33957,17,229.34416,2,232.65305,-1,230.81991
44,0,12.45007,50,1,0,232.33957,9,229.34416,2,232.65305,-1,230.81991
45,0,12.45007,50,1,0,232.33957,20,229.34416,2,232.65305,-1,230.81991
46,0,12.45007,50,1,0,232.33957,10,229.34416,2,232.65305,-1,230.81991
47,0,12.45007,50,1,0,232.33957,11,229.34416,2,232.65305,-1,230.81991
48,0,12.45007,50,1,1,232.33957,17,229.34416,2,232.65305,-1,230.81991
49,0,12.45007,50,1,0,232.33957,26,229.34416,2,232.65305,-1,230.81991
50,0,12.45007,50,1,1,232.33957,9,229.34416,2,232.65305,-1,230.81991
51,0,12.45007,50,1,1,232.33957,17,229.34416,2,232.65305,-1,230.81991
52,0,12.45007,50,1,1,232.33957,25,229.34416,2,232.65305,-1,230.81991
53,0,12.45007,50,1,0,232.33957,26,229.34416,0,232.65305,-1,230.81991
54,0,12.45007,50,1,1,232.33957,19,229.34416,2,232.65305,-1,230.81991
55,0,12.45007,50,1,1,232.33957,15,229.34416,2,232.65305,-1,230.81991
56,0,12.45007,50,1,1,232.33957,25,229.34416,0,232.65305,-1,230.81991
57,0,12.45007,50,1,1,232.33957,0,229.34416,2,232.65305,-1,230.81991
58,0,12.45007,50,1,0,232.33957,4,229.34416,2,232.65305,-1,230.81991
59,0,12.45007,50,1,1,232.33957,22,229.34416,2,232.65305,-1,230.81991
60,0,12.45007,50,1,1,232.33957,5,229.34416,2,232.65305,-1,230.81991
61,0,12.45007,50,1,1,232.33957,20,229.34416,2,232.65305,-1,230.81991
62,0,12.45007,50,1,0,232.33957,27,229.34416,2,232.65305,-1,230.81991
63,0,12.45007,50,1,0,232.33957,7,229.34416,2,232.65305,-1,230.81991
64,0,12.45007,50,1,1,232.33957,15,229.34416,2,232.65305,-1,230.81991
