,cluster_id,time,seqlength,coh_cluster,kmeans_clusters,kmeans_time,ap_clusters,ap_time,gmm_clusters,gmm_time,dbscan_clusters,dbscan_time
0,2,318.13039,11,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
1,2,318.13039,14,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
2,2,318.13039,21,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
3,2,318.13039,12,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
4,1,318.13039,18,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
5,2,318.13039,50,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
6,2,318.13039,59,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
7,2,318.13039,11,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
8,1,318.13039,14,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
9,2,318.13039,10,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
10,1,318.13039,10,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
11,2,318.13039,12,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
12,2,318.13039,14,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
13,1,318.13039,12,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
14,2,318.13039,20,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
15,2,318.13039,22,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
16,2,318.13039,16,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
17,2,318.13039,11,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
18,1,318.13039,15,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
19,2,318.13039,10,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
20,2,318.13039,12,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
21,2,318.13039,10,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
22,2,318.13039,13,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
23,2,318.13039,32,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
24,1,318.13039,14,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
25,1,318.13039,12,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
26,2,318.13039,11,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
27,2,318.13039,20,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
28,2,318.13039,26,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
29,2,318.13039,13,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
30,2,318.13039,10,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
31,1,318.13039,12,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
32,1,318.13039,10,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
33,2,318.13039,19,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
34,2,318.13039,10,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
35,1,318.13039,11,1,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
36,1,318.13039,20,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
37,2,318.13039,23,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
38,1,318.13039,17,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
39,2,318.13039,13,0,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
40,2,318.13039,10,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
41,2,318.13039,16,2,0,7987.97274,-1,8486.42832,0,7971.0184,-1,9247.79124
