,epoch,times,negative ll,purity,cluster_partition
0,0,-113999.20153999992,188177.078125,0.49812500000000004,0.0
1,1,-43855.29053999984,169015.40625,0.7575,0.0
2,2,-56461.00826000038,155978.453125,0.6281249999999999,0.0
3,3,-25407.837080000318,166515.5,0.904375,0.0
4,4,-16334.998780000024,167157.171875,0.9650000000000001,0.0
5,5,-9227.893120000372,167092.515625,0.97375,0.0
6,6,-9742.724179999786,167147.703125,0.9768749999999999,0.0
7,7,-10345.638899999904,167225.25,0.980625,0.0
8,8,-9180.353380000452,167272.90625,0.9825,0.0
9,9,-8911.760539999814,167316.25,0.9843750000000001,0.0
