,epoch,times,negative ll,purity,cluster_partition
0,0,-153693.78923999844,311445.84375,0.372,0.0
1,1,-49120.35058000125,226771.890625,0.47000000000000003,0.0
2,2,-29240.8150199987,236779.8125,0.6045,0.0
3,3,-34743.029219999444,241428.765625,0.674,0.0
4,4,-38812.80397999799,243859.75,0.714,0.0
5,5,-44386.76325999899,244383.90625,0.721,0.0
6,6,-50617.39171999972,244432.40625,0.723,0.0
7,7,-46958.923420000356,244431.53125,0.723,0.0
8,8,-48679.68100000173,244467.265625,0.719,0.0
9,9,-50384.200940001756,244477.96875,0.718,0.0
