,epoch,times,negative ll,purity,cluster_partition
0,0,-192635.73891999898,230277.890625,0.34450000000000003,0.0
1,1,-105586.86304000206,190211.515625,0.667,0.0
2,2,-134985.66753999796,193934.5,0.8325,0.0
3,3,-163721.44459999865,193980.25,0.935,0.0
4,4,-191285.6770200003,194127.078125,0.9584999999999999,0.0
5,5,-191719.2882800009,194111.390625,0.9625000000000001,0.0
6,6,-216992.7067999984,193966.71875,0.964,0.0
7,7,-168656.64174000034,193851.34375,0.9635,0.0
8,8,-91994.47164000012,193778.8125,0.9635,0.0
9,9,-94458.11657999875,193733.875,0.9635,0.0
