,epoch,times,negative ll,purity,cluster_partition
0,0,-229776.3794600009,311483.40625,0.289,0.0
1,1,-131065.53711999906,229363.046875,0.6205,0.0
2,2,-162219.03991999803,235073.203125,0.6425000000000001,0.0
3,3,-139554.73084000172,242722.359375,0.7094999999999999,0.0
4,4,-103110.6410999992,244197.453125,0.7140000000000001,0.0
5,5,-118718.0662399996,244383.875,0.713,0.0
6,6,-134650.36334000062,244394.890625,0.7110000000000001,0.0
7,7,-133172.61266000103,244373.203125,0.71,0.0
8,8,-133556.08481999952,244337.828125,0.709,0.0
9,9,-132678.35580000188,244316.625,0.717,0.0
