,epoch,times,negative ll,purity,cluster_partition
0,0,-160430.07486000017,186546.5625,0.5399999999999999,0.0
1,1,-86251.90980000014,160794.5,0.57375,0.0
2,2,-110409.15234000015,169385.75,0.678125,0.0
3,3,-134460.05585999985,167804.3125,0.88375,0.0
4,4,-158506.32308,168429.921875,0.9675,0.0
5,5,-182707.04832000018,168415.609375,0.974375,0.0
6,6,-206720.8438200003,167965.34375,0.97875,0.0
7,7,-206754.23588000005,167321.34375,0.984375,0.0
8,8,-206132.30974000006,166691.046875,0.986875,0.0
9,9,-205182.53276000032,166224.640625,0.988125,0.0
