,epoch,times,negative ll,purity,cluster_partition
0,0,-116411.8836,145510.84375,0.8187500000000001,0.0
1,1,-75281.11262000006,102573.4453125,0.94625,0.0
2,2,-95013.22801999995,78987.015625,0.935,0.0
3,3,-114912.96941999986,79552.3046875,0.98875,0.0
4,4,-134581.46915999998,79363.546875,0.9725,0.0
5,5,-154150.52547999992,79795.640625,0.98,0.0
6,6,-173889.68523999996,79995.2109375,0.9925,0.0
7,7,-173877.5444399999,80024.3359375,0.9862500000000001,0.0
8,8,-173849.9383599998,80022.25,0.98125,0.0
9,9,-173858.5878400001,80018.3046875,0.97375,0.0
