,epoch,times,negative ll,purity,cluster_partition
0,0,-79788.10796000005,94921.671875,0.87,0.0
1,1,-42712.101900000125,101014.078125,1.0,0.0
2,2,-54826.654280000366,89558.703125,1.0,0.0
3,3,-66915.11111999978,90016.4921875,1.0,0.0
4,4,-79031.6642600001,90282.71875,0.9999999999999999,0.0
5,5,-91056.33860000002,90373.265625,1.0,0.0
6,6,-103231.2476799998,90189.5234375,1.0,0.0
7,7,-102782.27460000024,89784.203125,1.0,0.0
8,8,-102499.76994000026,89405.8828125,1.0,0.0
9,9,-102404.43783999945,89132.84375,1.0,0.0
