,Unnamed: 0,time,event
0,0,2,31
1,1,2,36
2,2,2,18
3,3,3,2
4,4,4,1
5,5,5,2
6,6,6,2
7,7,7,1
8,8,9,2
9,9,13,18
10,10,13,1
11,11,16,2
12,12,17,4
13,13,18,3
14,14,19,31
15,15,19,2
16,16,19,1
17,17,19,11
18,18,20,4
19,19,20,1
20,20,20,11
21,21,21,4
22,22,21,32
23,23,23,2
24,24,25,31
25,25,27,1
26,26,27,11
27,27,29,2
28,28,30,3
29,29,31,4
30,30,32,2
31,31,33,43
32,32,33,24
33,33,33,1
34,34,34,22
35,35,34,3
36,36,36,2
37,37,37,3
38,38,39,2
39,39,40,1
40,40,43,2
41,41,45,2
42,42,47,2
43,43,47,1
44,44,48,28
45,45,48,36
46,46,49,1
47,47,50,2
48,48,52,2
49,49,53,34
50,50,53,4
51,51,53,2
52,52,53,1
53,53,58,2
54,54,58,1
55,55,61,1
56,56,62,28
57,57,62,18
58,58,64,2
59,59,65,4
60,60,66,34
61,61,66,35
62,62,66,11
63,63,67,57
64,64,67,2
65,65,67,3
66,66,68,55
67,67,68,1
68,68,68,11
69,69,70,4
70,70,70,1
71,71,71,34
72,72,71,2
73,73,71,1
74,74,73,1
75,75,75,1
76,76,76,23
78,78,76,11
79,79,82,1
80,80,83,1
81,81,83,50
82,82,84,34
83,83,84,4
84,84,85,2
85,85,85,3
86,86,86,3
87,87,87,4
88,88,88,2
89,89,90,1
90,90,91,4
91,91,91,1
92,92,93,4
93,93,93,2
94,94,95,3
95,95,96,2
96,96,96,11
97,97,97,34
98,98,97,4
99,99,97,1
100,100,98,4
101,101,98,1
102,102,101,2
103,103,101,1
104,104,104,34
105,105,104,2
106,106,104,1
107,107,105,36
108,108,105,2
109,109,105,1
110,110,106,3
111,111,107,4
112,112,107,1
113,113,108,2
114,114,109,3
115,115,110,67
116,116,110,2
117,117,110,18
118,118,110,1
119,119,111,34
120,120,111,32
121,121,111,1
122,122,112,36
123,123,112,1
124,124,114,4
125,125,114,1
126,126,115,4
127,127,116,2
128,128,117,67
129,129,117,3
130,130,118,1
131,131,119,4
132,132,119,18
133,133,119,1
134,134,120,34
135,135,120,4
136,136,121,2
137,137,122,4
138,138,122,3
139,139,124,2
140,140,125,34
141,141,125,1
142,142,126,31
143,143,126,1
144,144,126,11
145,145,130,34
146,146,130,2
147,147,130,3
148,148,131,34
149,149,131,2
150,150,131,32
151,151,132,34
152,152,132,4
153,153,132,1
154,154,133,11
155,155,134,2
156,156,134,3
157,157,136,1
158,158,136,11
159,159,137,2
160,160,138,34
161,161,138,1
162,162,139,14
163,163,139,67
164,164,139,3
165,165,139,18
166,166,139,1
167,167,139,10
168,168,140,4
169,169,141,2
171,171,144,1
172,172,144,11
173,173,145,31
174,174,145,67
175,175,145,2
176,176,145,11
177,177,147,3
178,178,149,3
179,179,150,2
180,180,152,32
181,181,153,57
182,182,153,1
183,183,153,11
184,184,155,2
186,186,158,2
187,187,160,67
188,188,163,2
189,189,163,3
190,190,164,3
191,191,165,4
192,192,166,11
193,193,168,3
194,194,169,2
195,195,169,3
196,196,172,2
197,197,173,23
198,198,173,11
199,199,174,34
200,200,174,36
201,201,174,1
202,202,174,9
203,203,175,4
204,204,180,31
205,205,181,36
206,206,181,1
207,207,184,2
208,208,184,1
209,209,187,2
210,210,188,1
211,211,189,32
212,212,189,1
213,213,192,3
214,214,193,34
215,215,194,34
216,216,194,4
217,217,197,11
218,218,198,2
219,219,199,1
220,220,200,3
221,221,200,11
222,222,201,31
223,223,201,22
224,224,201,23
225,225,201,18
226,226,201,11
227,227,202,67
228,228,202,2
229,229,202,1
230,230,202,9
231,231,203,32
232,232,203,1
233,233,205,11
234,234,206,11
235,235,207,28
236,236,208,36
237,237,208,1
238,238,211,2
239,239,211,1
240,240,214,3
241,241,215,4
242,242,216,1
243,243,216,11
244,244,217,34
245,245,217,2
246,246,219,32
247,247,219,1
248,248,236,3
249,249,236,1
250,250,238,34
251,251,238,4
252,252,238,11
253,253,239,12
254,254,240,57
255,255,240,2
256,256,240,32
257,257,240,1
258,258,240,11
259,259,241,4
260,260,243,57
261,261,243,1
262,262,244,2
263,263,246,2
264,264,247,3
265,265,247,1
266,266,249,12
267,267,249,11
268,268,250,1
269,269,250,12
270,270,251,34
271,271,251,12
272,272,252,4
273,273,252,57
274,274,252,1
275,275,256,1
276,276,258,57
277,277,259,2
278,278,259,11
279,279,262,3
280,280,263,2
281,281,264,34
282,282,265,1
283,283,265,11
284,284,266,4
285,285,266,32
286,286,266,1
287,287,267,2
288,288,277,4
289,289,278,34
290,290,278,3
291,291,279,2
292,292,279,3
293,293,279,1
294,294,283,2
295,295,287,2
296,296,288,2
297,297,290,1
298,298,290,11
299,299,292,2
300,300,293,67
301,301,293,2
302,302,294,1
303,303,296,3
304,304,300,3
305,305,301,3
306,306,302,22
307,307,305,4
308,308,307,1
309,309,307,12
310,310,308,1
311,311,309,1
312,312,309,12
313,313,310,12
314,314,311,1
315,315,311,12
316,316,313,18
317,317,314,4
318,318,315,32
319,319,315,1
320,320,316,2
321,321,318,2
322,322,318,3
323,323,320,4
324,324,320,43
325,325,320,2
326,326,320,18
327,327,320,1
328,328,320,11
329,329,321,14
330,330,321,80
331,331,321,34
332,332,321,11
333,333,323,1
334,334,324,2
335,335,327,11
336,336,332,2
337,337,333,3
338,338,334,2
339,339,334,24
340,340,335,2
341,341,339,2
342,342,340,2
343,343,341,2
344,344,342,11
345,345,343,2
346,346,343,3
