,epoch,times,negative ll,purity,cluster_partition
0,0,-68127.60638000007,80249.8828125,0.5075,0.0
1,1,-30160.817879999813,73571.6796875,0.71375,0.0
2,2,-39114.022240000195,85428.5546875,0.9650000000000001,0.0
3,3,-47535.25274000014,84269.859375,0.9900000000000001,0.0
4,4,-55212.23045999999,84128.171875,0.9887499999999999,0.0
5,5,-63946.960599999875,84453.859375,0.9975,0.0
6,6,-71374.88031999965,81886.25,1.0,0.0
7,7,-72766.68680000002,81349.328125,0.9999999999999999,0.0
8,8,-71707.10384000035,81576.0234375,1.0,0.0
9,9,-72337.25367999985,81610.359375,1.0,0.0
