,epoch,times,negative ll,purity,cluster_partition
0,0,-66979.1106199997,91165.109375,0.8700000000000001,0.0
1,1,-29659.40029999998,94267.1171875,0.9324999999999999,0.0
2,2,-38849.794980000006,91127.3125,0.9812500000000001,0.0
3,3,-47008.81927999959,87827.609375,0.99875,0.0
4,4,-56024.19085999951,85453.7265625,0.9975,0.0
5,5,-63794.95547999977,84578.125,0.99875,0.0
6,6,-72272.04846000008,84427.265625,0.99875,0.0
7,7,-72669.38705999986,85207.8515625,0.99875,0.0
8,8,-58790.4946400004,86341.578125,0.9999999999999999,0.0
9,9,-39203.89288000006,84840.171875,1.0,0.0
