,epoch,times,negative ll,purity,cluster_partition
0,0,-148597.67023999942,183158.1875,0.46249999999999997,0.0
1,1,-72399.07644000021,184765.484375,0.5449999999999999,0.0
2,2,-93513.01531999954,183506.171875,0.6093749999999999,0.0
3,3,-114629.20912000001,182743.03125,0.7549999999999999,0.0
4,4,-135713.92943999963,183375.515625,0.87875,0.0
5,5,-156792.24944000016,184659.15625,0.9337500000000001,0.0
6,6,-177839.26443999982,185700.734375,0.955625,0.0
7,7,-177914.16708000004,186432.703125,0.9681250000000001,0.0
8,8,-177876.6007600003,186909.921875,0.976875,0.0
9,9,-177414.47995999944,187146.515625,0.978125,0.0
