,epoch,times,negative ll,purity,cluster_partition
0,0,-116462.91789999988,144613.125,0.6375000000000001,0.0
1,1,-75308.84288000001,73931.1796875,0.58,0.0
2,2,-95054.71511999989,70635.578125,0.52125,0.0
3,3,-114730.7734800002,75752.96875,0.8025,0.0
4,4,-134402.9692199998,78303.03125,0.96875,0.0
5,5,-154160.5533599999,79093.921875,0.9762500000000001,0.0
6,6,-173900.86282000004,79471.578125,0.9812500000000001,0.0
7,7,-173971.32332000008,79549.03125,0.9824999999999999,0.0
8,8,-173941.67422000028,79571.8359375,0.9862500000000001,0.0
9,9,-173883.03068000008,79583.3984375,0.98875,0.0
