,epoch,times,negative ll,purity,cluster_partition
0,0,-58875.809080000035,311284.9375,0.34800000000000003,0.0
1,1,-16043.40610000072,221193.0,0.39449999999999996,0.0
2,2,-18830.17635999946,234355.765625,0.5305000000000001,0.0
3,3,-23244.727020000573,241301.390625,0.5745,0.0
4,4,-37070.94509999966,243137.203125,0.6235,0.0
5,5,-45161.25002000015,243583.59375,0.6755,0.0
6,6,-47736.06380000012,243527.9375,0.6945000000000001,0.0
7,7,-48111.48142000195,243390.859375,0.7050000000000001,0.0
8,8,-46878.03918000078,243306.328125,0.71,0.0
9,9,-48672.06260000123,243282.4375,0.714,0.0
