,Unnamed: 0,Unnamed: 0.1,cluster_id,seqlength,kmeans_clusters,kmeans_time,gmm_clusters,gmm_time,time,coh_cluster,k_shape_clusters,k_means_softdtw_clusters
0,0,0,0,835,0,148.65882,1,147.39666,20.46232,0,2,1
1,1,1,0,799,0,148.65882,1,147.39666,20.46232,0,2,1
2,2,2,0,830,0,148.65882,1,147.39666,20.46232,0,0,1
3,3,3,0,399,0,148.65882,1,147.39666,20.46232,0,2,1
4,4,4,0,384,0,148.65882,1,147.39666,20.46232,0,2,1
5,5,5,0,354,0,148.65882,1,147.39666,20.46232,0,2,1
6,6,6,0,355,0,148.65882,1,147.39666,20.46232,0,2,1
7,7,7,0,430,0,148.65882,1,147.39666,20.46232,0,2,1
8,8,8,0,312,0,148.65882,1,147.39666,20.46232,0,2,1
9,9,9,0,233,0,148.65882,1,147.39666,20.46232,0,2,1
10,10,10,0,381,0,148.65882,1,147.39666,20.46232,0,2,1
11,11,11,0,398,0,148.65882,1,147.39666,20.46232,2,2,1
12,12,12,0,370,0,148.65882,1,147.39666,20.46232,0,2,1
13,13,13,0,794,0,148.65882,1,147.39666,20.46232,0,2,1
14,14,14,0,465,0,148.65882,1,147.39666,20.46232,0,2,1
15,15,15,0,447,0,148.65882,1,147.39666,20.46232,0,1,1
16,16,16,0,408,0,148.65882,1,147.39666,20.46232,0,1,1
17,17,17,0,334,0,148.65882,1,147.39666,20.46232,0,2,1
18,18,18,0,333,0,148.65882,1,147.39666,20.46232,0,2,1
19,19,19,0,330,0,148.65882,1,147.39666,20.46232,0,2,1
20,20,20,0,480,0,148.65882,1,147.39666,20.46232,0,2,1
21,21,21,0,420,0,148.65882,1,147.39666,20.46232,0,2,1
22,22,22,0,361,0,148.65882,1,147.39666,20.46232,0,2,1
23,23,23,0,459,0,148.65882,1,147.39666,20.46232,0,2,1
24,24,24,0,851,0,148.65882,1,147.39666,20.46232,0,2,1
25,25,25,0,460,0,148.65882,1,147.39666,20.46232,2,2,1
26,26,26,0,326,0,148.65882,1,147.39666,20.46232,0,2,1
27,27,27,0,338,0,148.65882,1,147.39666,20.46232,2,2,1
28,28,28,0,393,0,148.65882,1,147.39666,20.46232,0,2,1
29,29,29,0,315,0,148.65882,1,147.39666,20.46232,0,2,1
30,30,30,0,359,0,148.65882,1,147.39666,20.46232,0,2,1
31,31,31,0,332,0,148.65882,1,147.39666,20.46232,0,2,1
32,32,32,0,490,0,148.65882,1,147.39666,20.46232,0,2,1
33,33,33,0,364,0,148.65882,1,147.39666,20.46232,0,2,1
34,34,34,0,403,0,148.65882,1,147.39666,20.46232,0,2,1
35,35,35,0,826,0,148.65882,1,147.39666,20.46232,0,2,1
36,36,36,0,389,0,148.65882,1,147.39666,20.46232,0,2,1
37,37,37,0,363,0,148.65882,1,147.39666,20.46232,0,2,1
38,38,38,0,261,0,148.65882,1,147.39666,20.46232,0,2,1
39,39,39,0,348,0,148.65882,1,147.39666,20.46232,0,2,1
40,40,40,0,424,0,148.65882,1,147.39666,20.46232,0,2,1
41,41,41,0,371,0,148.65882,1,147.39666,20.46232,0,2,1
42,42,42,0,232,0,148.65882,1,147.39666,20.46232,0,2,1
43,43,43,0,403,0,148.65882,1,147.39666,20.46232,0,2,1
44,44,44,0,338,0,148.65882,1,147.39666,20.46232,0,2,1
