,epoch,times,negative ll,purity,cluster_partition
0,0,-185290.55181999982,233342.65625,0.4385,0.0
1,1,-88484.68002000009,218387.84375,0.48050000000000004,0.0
2,2,-114117.46013999975,226718.375,0.5525,0.0
3,3,-139637.37226000056,223946.859375,0.5535000000000001,0.0
4,4,-165358.96433999995,229501.09375,0.6165,0.0
5,5,-190995.87666000007,224252.140625,0.629,0.0
6,6,-216607.42964000034,221845.921875,0.659,0.0
7,7,-215871.59356000018,221807.296875,0.685,0.0
8,8,-215066.23580000014,221864.21875,0.7135,0.0
9,9,-215107.50882000022,221895.5,0.7250000000000001,0.0
