,cluster_id,seqlength,coh_cluster_1,coh_cluster_2,coh_cluster_3,time,coh_cluster,kmeans_time,kmeans_cluster_1,kmeans_cluster_2,kmeans_cluster_3,kmeans_clusters,ap_time,ap_cluster_1,ap_cluster_2,ap_cluster_3,ap_clusters,gmm_time,gmm_cluster_1,gmm_cluster_2,gmm_cluster_3,gmm_clusters
0,2,11,2,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,2,0.0
1,2,14,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
2,2,21,1,0,1,824.3467799999999,1.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
3,2,12,1,2,1,824.3467799999999,1.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,1,0.0
4,1,18,2,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,2,0.0
5,2,50,2,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,1,0.0
6,2,59,2,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
7,2,11,1,0,1,824.3467799999999,1.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
8,1,14,1,0,1,824.3467799999999,1.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
9,2,10,0,0,1,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
10,1,10,1,0,1,824.3467799999999,1.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,2,0.0
11,2,12,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
12,2,14,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
13,1,12,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
14,2,20,1,0,1,824.3467799999999,1.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
15,2,22,0,2,1,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,1,0.0
16,2,16,0,2,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
17,2,11,0,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
18,1,15,0,0,1,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
19,2,10,2,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,1,0.0
20,2,12,2,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
21,2,10,0,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
22,2,13,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
23,2,32,1,0,1,824.3467799999999,1.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
24,1,14,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
25,1,12,1,0,1,824.3467799999999,1.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
26,2,11,2,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,1,0.0
27,2,20,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
28,2,26,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
29,2,13,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
30,2,10,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
31,1,12,1,0,1,824.3467799999999,1.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
32,1,10,2,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
33,2,19,2,2,2,824.3467799999999,2.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,1,0.0
34,2,10,0,0,1,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
35,1,11,0,1,2,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,1,0.0
36,1,20,1,0,0,824.3467799999999,0.0,11461.00096,0,0,0,0.0,12851.419000000002,-1,-1,-1,-1,11892.48912,0,0,0,0.0
