,epoch,times,negative ll,purity,cluster_partition
0,0,-116709.22235999955,141584.15625,0.5712499999999999,0.0
1,1,-75206.86967999965,84724.90625,0.81625,0.0
2,2,-95020.21894000005,79511.1484375,0.9825,0.0
3,3,-114917.42452000035,78748.3046875,0.9675,0.0
4,4,-134536.3133200002,79073.0078125,0.95375,0.0
5,5,-154042.88582000008,79651.6328125,0.9750000000000001,0.0
6,6,-173876.0782199999,79747.015625,0.9875,0.0
7,7,-173895.68252000026,79760.2109375,0.9875,0.0
8,8,-173966.07308000035,79765.28125,0.9875000000000002,0.0
9,9,-173782.76060000004,79788.3046875,0.9875,0.0
